platform,song_id,song_name,artist_name,first_timestamp,last_timestamp,first_total_plays,last_total_plays,net_plays,first_total_listeners,last_total_listeners,net_listeners,avg_rate_plays_per_min,avg_rate_listeners_per_min,num_points,num_anomalies_negative_diff
GENIE,107944474,Solution,최인희 & 오혜주,2025-12-17 17:56:00,2025-12-19 13:57:00,2689,2689,0,5779,5780,1,0.0,7.235366471311772e-05,18,0
GENIE,107944475,At Home,임현지,2025-12-17 17:56:00,2025-12-19 13:57:00,19,19,0,92,92,0,0.0,0.0,18,0
GENIE,107944476,Let's Walk Together,오혜주,2025-12-17 17:56:00,2025-12-19 13:57:00,73,73,0,199,199,0,0.0,0.0,18,0
GENIE,107944477,Oops,이소리,2025-12-17 17:56:00,2025-12-19 13:57:00,16,16,0,44,44,0,0.0,0.0,18,0
GENIE,107944478,썸,김하영,2025-12-17 17:56:00,2025-12-19 13:57:00,71,71,0,280,280,0,0.0,0.0,18,0
GENIE,107944479,Someday,이소리,2025-12-17 17:56:00,2025-12-19 13:57:00,66,66,0,92,92,0,0.0,0.0,18,0
GENIE,107944480,Move Move,임현지,2025-12-17 17:56:00,2025-12-19 13:57:00,10,10,0,20,20,0,0.0,0.0,18,0
GENIE,107944481,Uh,최인희 & 이소리,2025-12-17 17:56:00,2025-12-19 13:57:00,14,14,0,24,24,0,0.0,0.0,18,0
GENIE,107944482,그런 사이 아니에요,김하영,2025-12-17 17:56:00,2025-12-19 13:57:00,23,23,0,43,43,0,0.0,0.0,18,0
GENIE,107944483,Hey Man,김현주,2025-12-17 17:56:00,2025-12-19 13:57:00,10,10,0,18,18,0,0.0,0.0,18,0
GENIE,16091856,환상,박지윤,2025-12-22 19:03:00,2026-01-14 13:34:00,516964,519325,2361,4314485,4355345,40860,0.07420646076648411,1.259317288268595,5,0
GENIE,16110174,다시 사랑한다 말할까,김동률,2025-12-22 19:03:00,2026-01-14 13:34:00,1793456,1798434,4978,25332055,25430228,98173,0.11529791944337843,2.884574505789963,5,0
GENIE,16235981,그대에게,신해철,2025-12-22 19:03:00,2026-01-14 13:34:00,721221,725157,3936,6799120,6854489,55369,0.08980549639976262,1.5575164145746168,5,0
GENIE,20327890,세글자,엠투엠 (M To M),2025-12-22 19:03:00,2026-01-14 13:34:00,1072668,1075567,2899,16170461,16248299,77838,0.08184664144347734,2.2217841343977085,5,0
GENIE,37695999,여인의 향기,씨야 (SeeYa),2025-12-22 19:03:00,2026-01-14 13:34:00,1299706,1303722,4016,15233610,15291129,57519,0.12547163802522035,1.6861616211318091,5,0
GENIE,38366454,내사람 : Partner For Life,SG워너비,2025-12-22 19:03:00,2026-01-14 13:34:00,1996312,2001120,4808,30204303,30306825,102522,0.11942648361360847,2.9661954220153266,5,0
GENIE,47005448,감사,김동률,2025-12-22 19:03:00,2026-01-14 13:34:00,1645452,1648767,3315,27818898,27903024,84126,0.09045870620022359,2.4252343527443276,5,0
