platform_seq,platform_name,song_type_txt,album_cd,album_name_kor,album_name_eng,song_cd,song_name_kor,song_name_eng,song_release_date,artist_cd,artist_name_kor,artist_name_eng,mem_cd,mem_name,track_cd,isrc_cd,interest_yn,platform_artist_ids,platform_song_ids
80,지니뮤직,대중음악,A1000001,Fun'ch,Fun'ch,A1000001T005,못된 여자,Bad Girl,39603,S123981,원투 (One Two),One Two,L20220049,바론 엔터,A1000001T005,QZEKE1873038,Y,{},"{""GENIE"": ""59950541""}"
80,지니뮤직,대중음악,A1000002,Big 5,Big 5,A1000002T002,슬픈 인연,Sad Fate,34335,S123984,공일오비,015B,L20220050,다날엔터_IP 포이보스,A1000002T002,KRA341436137,Y,{},"{""GENIE"": ""16245666""}"
80,지니뮤직,대중음악,A1000005,015B The Best Collection,015B The Best Collection,A1000005T012,이젠 안녕,Good bye for now,35125,S123984,공일오비,015B,L20220050,다날엔터_IP 포이보스,A1000005T012,KRA341436162,Y,{},"{""GENIE"": ""16255332""}"
80,지니뮤직,대중음악,A1000022,공일오비,015B,A1000022T001,텅 빈 거리에서,In an empty street,32874,S123984,공일오비,015B,L20220050,다날엔터_IP 포이보스,A1000022T001,KRA340902406,Y,{},"{""GENIE"": ""93542599""}"
80,지니뮤직,대중음악,A1000026,귀향,Homecoming,A1000026T001,사랑한다는 말,"The words "" I love you""",37190,S119571,김동률,Kim Dong Ryul,L20220050,다날엔터_IP 포이보스,A1000026T001,KRA341315221,Y,{},"{""GENIE"": ""16110173""}"
80,지니뮤직,대중음악,A1000026,귀향,Homecoming,A1000026T002,다시 사랑한다 말할까,"I say ""I love you"" again",37190,S119571,김동률,Kim Dong Ryul,L20220050,다날엔터_IP 포이보스,A1000026T002,KRA341315222,Y,{},"{""GENIE"": ""16110174""}"
80,지니뮤직,대중음악,A1000045,놀이,Game,A1000045T003,난 여자가 있는데,I have a lover,37049,S120427,박진영,J.Y. Park,L20220050,다날엔터_IP 포이보스,A1000045T003,QZEKE1870237,Y,{},"{""GENIE"": ""16108155""}"
80,지니뮤직,대중음악,A1000065,못된 남자,,A1000065T001,못된 남자,,39352,S100153,엠투엠,M To M,L20252410,포이보스(압류),A1000065T001,KRA341671157,Y,{},"{""GENIE"": ""54795102""}"
80,지니뮤직,대중음악,A1000079,사랑의 배터리,Love's Battery,A1000079T001,사랑의 배터리,Love's Battery,39983,S119570,홍진영,Hong Jin-young,L20220427,다날엔터_IP 인접보유,A1000079T001,KRA340904903,Y,{},"{""GENIE"": ""79475367""}"
80,지니뮤직,대중음악,A1000082,성인식,Coming of age ceremony,A1000082T003,성인식,Coming of age ceremony,36733,S100089,박지윤,박지윤,L20220050,다날엔터_IP 포이보스,A1000082T003,QZEKE1870193,Y,{},"{""GENIE"": ""16091854""}"
80,지니뮤직,대중음악,A1000082,성인식,Coming of age ceremony,A1000082T005,환상,Illusion,36733,S100089,박지윤,박지윤,L20220050,다날엔터_IP 포이보스,A1000082T005,QZEKE1870195,Y,{},"{""GENIE"": ""16091856""}"
80,지니뮤직,대중음악,A1000083,슬픈 표정 하지 말아요,Don`t look so sad,A1000083T001,슬픈 표정 하지 말아요,Don`t look so sad,32994,S100134,신해철,Shin Hae Chul,L20220050,다날엔터_IP 포이보스,A1000083T001,QZEKE1869961,Y,{},"{""GENIE"": ""16232626""}"
80,지니뮤직,대중음악,A1000087,쌍둥이 파워,,A1000087T003,학교를 안갔어,,36543,S100066,량현량하,량현량하,L20220050,다날엔터_IP 포이보스,A1000087T003,QZEKE1870174,Y,{},"{""GENIE"": ""16093487""}"
80,지니뮤직,대중음악,A1000094,The First Mind - 여인의 향기,The First Mind - Scent of a Woman,A1000094T001,여인의 향기,Scent of a Woman,38772,S121309,씨야,SeeYa,L20252410,포이보스(압류),A1000094T001,KRA341321102,Y,{},"{""GENIE"": ""37695999""}"
80,지니뮤직,대중음악,A1000094,The First Mind - 여인의 향기,The First Mind - Scent of a Woman,A1000094T002,구두,shoes,38772,S121309,씨야,SeeYa,L20252410,포이보스(압류),A1000094T002,KRA341321103,Y,{},"{""GENIE"": ""37696000""}"
80,지니뮤직,대중음악,A1000096,열여섯번째 이야기,Choi Baek Ho`s Sixteenth Story,A1000096T002,낭만에 대하여,Abount Romantic,34639,S120134,최백호,최백호,L20220050,다날엔터_IP 포이보스,A1000096T002,QZEKE1870031,Y,{},"{""GENIE"": ""16245685""}"
80,지니뮤직,대중음악,A1000102,우(愚),Woo,A1000102T001,환생,Rebirth,35156,S121308,윤종신,Yoon Jong Shin,L20220050,다날엔터_IP 포이보스,A1000102T001,KRA341326157,Y,{},"{""GENIE"": ""16254762""}"
80,지니뮤직,대중음악,A1000156,M TO M (ANTIQUE VOICE),,A1000156T001,세글자,,38597,S124028,M TO M,M TO M,L20252410,포이보스(압류),A1000156T001,KRA341671506,Y,{},"{""GENIE"": ""20327890""}"
80,지니뮤직,대중음악,A1000161,BAD LOVE,BAD LOVE,A1000161T004,몹쓸 사랑,몹쓸 사랑,39492,S100043,나오미,나오미,L20220084,클라이믹스,A1000161T004,KRA341212621,Y,{},"{""GENIE"": ""56584677""}"
80,지니뮤직,대중음악,A1000178,Carnival (이적+김동률 프로젝트 앨범),Carnival (Lee Juck+Kim Dong Ryul Project Album),A1000178T003,그땐 그랬지,At that time,35554,S119572,카니발,Carnival,L20220050,다날엔터_IP 포이보스,A1000178T003,KRA340901845,Y,{},"{""GENIE"": ""16266294""}"
80,지니뮤직,대중음악,A1000229,Exhibition,Exhibition,A1000229T001,기억의 습작,Etude of Memory,34455,S119574,전람회,Exhibition,L20220050,다날엔터_IP 포이보스,A1000229T001,KRA340902456,Y,{},"{""GENIE"": ""16245675""}"
80,지니뮤직,대중음악,A1000230,Exhibition 2,Exhibition 2,A1000230T008,취중진담,Druken Truth,35156,S119574,전람회,Exhibition,L20220050,다날엔터_IP 포이보스,A1000230T008,KRA340902472,Y,{},"{""GENIE"": ""16254787""}"
80,지니뮤직,대중음악,A1000305,Lovely Sweet Heart,Lovely Sweet Heart,A1000305T001,사랑의 인사,사랑의 인사,39227,S121309,씨야,SeeYa,L20252410,포이보스(압류),A1000305T001,KRA341321101,Y,{},"{""GENIE"": ""49369764""}"
80,지니뮤직,대중음악,A1000305,Lovely Sweet Heart,Lovely Sweet Heart,A1000305T002,결혼할까요,결혼할까요,39227,S121309,씨야,SeeYa,L20252410,포이보스(압류),A1000305T002,KRA341321100,Y,{},"{""GENIE"": ""49369818""}"
80,지니뮤직,대중음악,A1000305,Lovely Sweet Heart,Lovely Sweet Heart,A1000305T005,어떻게 널 잊겠니,어떻게 널 잊겠니,39227,S121309,씨야,SeeYa,L20252410,포이보스(압류),A1000305T005,KRA341321097,Y,{},"{""GENIE"": ""49370000""}"
80,지니뮤직,대중음악,A1000340,Myself,Myself,A1000340T003,나에게 쓰는 편지,Letter to myself,33317,S100134,신해철,Shin Hae Chul,L20220050,다날엔터_IP 포이보스,A1000340T003,QZEKE1869985,Y,{},"{""GENIE"": ""16235979""}"
80,지니뮤직,대중음악,A1000340,Myself,Myself,A1000340T005,그대에게,To you,33317,S100134,신해철,Shin Hae Chul,L20220050,다날엔터_IP 포이보스,A1000340T005,QZEKE1869987,Y,{},"{""GENIE"": ""16235981""}"
80,지니뮤직,대중음악,A1000340,Myself,Myself,A1000340T006,내 마음 깊은 곳의 너,You in my deep heart,33317,S100134,신해철,Shin Hae Chul,L20220050,다날엔터_IP 포이보스,A1000340T006,QZEKE1869988,Y,{},"{""GENIE"": ""16235982""}"
80,지니뮤직,대중음악,A1000362,2008 One Two (Digital Single),2008 One Two - Bad Girl,A1000362T001,못된 여자,2008 One Two - Bad Girl,39566,S123981,원투 (One Two),One Two,L20220049,바론 엔터,A1000362T001,QZEKE1873023,Y,{},"{""GENIE"": ""58928679""}"
80,지니뮤직,대중음악,A1000411,Second Episode,,A1000411T002,이젠 안녕,,33359,S123984,공일오비,015B,L20220050,다날엔터_IP 포이보스,A1000411T002,KRA341436125,Y,{},"{""GENIE"": ""16235996""}"
80,지니뮤직,대중음악,A1000430,So Fresh,So Fresh,A1000430T001,So Fresh,So Fresh,39260,S119573,MC몽,MC MONG,L20220049,바론 엔터,A1000430T001,QZEKE1872915,Y,{},"{""GENIE"": ""50268666""}"
80,지니뮤직,대중음악,A1000477,감사,Thanks,A1000477T001,감사,Thanks,39156,S119571,김동률,Kim Dong Ryul,L20220432,대영에이브이,A1000477T001,KRA341315187,Y,{},"{""GENIE"": ""47005448""}"
80,지니뮤직,대중음악,A1000477,감사,Thanks,A1000477T002,기억의 습작,Etude Of Memoirs,39156,S119571,김동률,Kim Dong Ryul,L20220432,대영에이브이,A1000477T002,KRA341315188,Y,{},"{""GENIE"": ""47005470""}"
80,지니뮤직,대중음악,A1000477,감사,Thanks,A1000477T009,취중진담,My Tipsy Confession,39156,S119571,김동률,Kim Dong Ryul,L20220432,대영에이브이,A1000477T009,KRA341315195,Y,{},"{""GENIE"": ""47005678""}"
80,지니뮤직,대중음악,A1000477,감사,Thanks,A1000477T019,다시 사랑한다 말할까,Should I Say It One More Time,39156,S119571,김동률,Kim Dong Ryul,L20220432,대영에이브이,A1000477T019,KRA341315205,Y,{},"{""GENIE"": ""81195785""}"
80,지니뮤직,대중음악,A1000480,The 3rd Masterpiece,The 3rd Masterpiece,A1000480T001,내사람,Partner for Life,38818,S100831,SG워너비,SG Wannabe,L20252410,포이보스(압류),A1000480T001,KRA341320880,Y,{},"{""GENIE"": ""38366454""}"
80,지니뮤직,대중음악,A1000480,The 3rd Masterpiece,The 3rd Masterpiece,A1000480T002,느림보,느림보,38818,S100831,SG워너비,SG Wannabe,L20252410,포이보스(압류),A1000480T002,KRA341320881,Y,{},"{""GENIE"": ""38624009""}"
80,지니뮤직,대중음악,A1000480,The 3rd Masterpiece,The 3rd Masterpiece,A1000480T004,사랑했어요,사랑했어요,38818,S100831,SG워너비,SG Wannabe,L20252410,포이보스(압류),A1000480T004,KRA341320883,Y,{},"{""GENIE"": ""38472720""}"
80,지니뮤직,대중음악,A1000484,The Colorful Voices,The Colorful Voices,A1000484T001,새까맣게,새까맣게,39427,S124113,엠투엠,MTOM,L20252410,포이보스(압류),A1000484T001,KRA341212603,Y,{},"{""GENIE"": ""54793445""}"
80,지니뮤직,대중음악,A1000496,The Natural,The Natural,A1000496T001,오래전 그날,The day long ago,33970,S121308,윤종신,Yoon Jong Shin,L20220050,다날엔터_IP 포이보스,A1000496T001,KRA341326137,Y,{},"{""GENIE"": ""16241756""}"
80,지니뮤직,대중음악,A1000503,The Sentimental Chord,The Sentimental Chord,A1000503T001,아리랑,아리랑,39178,S100831,SG워너비,SG Wannabe,L20252410,포이보스(압류),A1000503T001,KRA341320864,Y,{},"{""GENIE"": ""47636983""}"
80,지니뮤직,대중음악,A1000503,The Sentimental Chord,The Sentimental Chord,A1000503T003,한여름날의 꿈,한여름날의 꿈,39178,S100831,SG워너비,SG Wannabe,L20252410,포이보스(압류),A1000503T003,KRA341320866,Y,{},"{""GENIE"": ""47637024""}"
80,지니뮤직,대중음악,A1000503,The Sentimental Chord,The Sentimental Chord,A1000503T011,STAY,STAY,39178,S100831,SG워너비,SG Wannabe,L20252410,포이보스(압류),A1000503T011,KRA341320874,Y,{},"{""GENIE"": ""47637096""}"
80,지니뮤직,대중음악,A1000504,The Shadow Of Forgetfulness,The Shadow Of Forgetfulness,A1000504T006,기적,Miracle,36130,S119571,김동률,Kim Dong Ryul,L20220050,다날엔터_IP 포이보스,A1000504T006,KRA341315216,Y,{},"{""GENIE"": ""16266266""}"
80,지니뮤직,대중음악,A1000506,The Third Wave,The Third Wave,A1000506T001,아주 오래된 연인들,Very longtime Lovers,33817,S123984,공일오비,015B,L20220050,다날엔터_IP 포이보스,A1000506T001,KRA340902416,Y,{},"{""GENIE"": ""16238892""}"
80,지니뮤직,대중음악,A1000507,The Way I Am,The Way I Am,A1000507T002,아이스크림,아이스크림,38985,S119573,MC몽,MC MONG,L20220049,바론 엔터,A1000507T002,QZEKE1872221,Y,{},"{""GENIE"": ""42430331""}"
80,지니뮤직,대중음악,A1000507,The Way I Am,The Way I Am,A1000507T005,기도 (Feat. 박효신),기도 (Feat. 박효신),38985,S119573,MC몽,MC MONG,L20220049,바론 엔터,A1000507T005,QZEKE1872224,Y,{},"{""GENIE"": ""42430456""}"
80,지니뮤직,대중음악,A1000508,The Way I Am (Repack),The Way I Am (Repack),A1000508T001,너에게 쓰는 편지 Part.2,너에게 쓰는 편지 Part.2,39064,S119573,MC몽,MC MONG,L20220049,바론 엔터,A1000508T001,KRA341671957,Y,{},"{""GENIE"": ""44240250""}"
80,지니뮤직,대중음악,A1000998,여보세요,여보세요,A1000998T002,She,She,40360,S101245,자미 소울,Jami Soul,L20220172,우드사이드,A1000998T002,KRA341209987,Y,{},"{""GENIE"": ""77305706""}"
80,지니뮤직,대중음악,A1001373,CONTI UKISS,CONTI UKISS,A1001373T002,만만하니,Am I too easy?,40817,S121576,유키스,U-KISS,L20220441,NH미디어,A1001373T002,KRA341201525,Y,{},"{""GENIE"": ""80537045""}"
80,지니뮤직,대중음악,A1002151,기억속의 멜로디,Melody in Memory,A1002151T001,감사,Thanks,41157,S119571,김동률,Kim Dong Ryul,L20252425,다날엔터_IP 포이보스(기타),A1002151T001,KRA341210536,Y,{},"{""GENIE"": ""81466535""}"
80,지니뮤직,대중음악,A1002151,기억속의 멜로디,Melody in Memory,A1002151T007,다시 사랑한다 말할까,"I say ""I love you"" again",41157,S119571,김동률,Kim Dong Ryul,L20252425,다날엔터_IP 포이보스(기타),A1002151T007,KRA341210542,Y,{},"{""GENIE"": ""81466541""}"
80,지니뮤직,대중음악,A1002826,귀요미송 (ReTitle),Gwiyomi song (ReTitle),A1002826T001,귀요미송,Gwiyomi song,41323,S154851,하리,하리,L20220274,Y Tree Entertainment,A1002826T001,KRA341223119,Y,{},"{""GENIE"": ""81804306""}"
80,지니뮤직,대중음악,A1003243,Love in Memory,Love in Memory,A1003243T001,취중진담,Druken Truth,41442,S119571,김동률,Kim Dong Ryul,L20252425,다날엔터_IP 포이보스(기타),A1003243T001,KRA341309413,Y,{},"{""GENIE"": ""81938152""}"
80,지니뮤직,대중음악,A1003532,Last Romanticist,Last Romanticist,A1003532T003,후회는 없어,There is no regret,41548,S100049,노블레스,Noblesse,L20220466,어나더 무드,A1003532T003,KRA341334302,Y,{},"{""GENIE"": ""55814414""}"
80,지니뮤직,대중음악,A1003583,See You Again,See You Again,A1003583T005,여인의 향기,Scent of a Woman,44287,S121309,씨야,SeeYa,L20252410,포이보스(압류),A1003583T005,KRA341321102,Y,{},"{""GENIE"": ""80934777""}"
80,지니뮤직,대중음악,A1003583,See You Again,See You Again,A1003583T007,사랑의 인사,사랑의 인사,44287,S121309,씨야,SeeYa,L20252410,포이보스(압류),A1003583T007,KRA341321101,Y,{},"{""GENIE"": ""80934779""}"
